@relation arff
@attribute nbroflines real
@attribute avglength real
@attribute perpendicular real
@attribute parallell real
@attribute isdoor {yes, no}
@data
5,0.695447,5,4,yes
7,0.487291,6,5,yes
6,0.613424,6,3,yes
7,0.530622,4,5,yes
4,0.690562,3,2,yes
5,0.461478,5,4,yes
6,0.439517,5,3,yes
7,0.58048,6,4,yes
5,0.672185,4,3,yes
4,0.520109,3,2,yes
5,0.681671,5,4,yes
5,0.616327,4,4,yes
6,0.610093,3,4,yes
7,0.55644,6,2,yes
9,0.499678,7,8,yes
5,0.709543,5,4,yes
7,0.456621,9,5,yes
4,0.658849,3,2,yes
7,0.580596,7,4,yes
6,0.571552,7,5,yes
7,0.591023,8,5,yes
6,0.734367,5,2,yes
9,0.458984,10,8,yes
5,0.460811,5,2,yes
7,0.577154,6,4,yes
8,0.522512,7,7,yes
8,0.572536,10,7,yes
6,0.574676,5,4,yes
7,0.619364,6,6,yes
7,0.5425,5,5,yes
7,0.525921,5,2,yes
6,0.609792,6,3,yes
5,0.69072,5,4,yes
6,0.560441,3,3,yes
6,0.579324,5,4,yes
6,0.65415,7,3,yes
7,0.510844,6,6,yes
7,0.64661,6,7,yes
7,0.667259,6,4,yes
4,0.640939,3,2,yes
7,0.55531,6,5,yes
5,0.683184,5,4,yes
4,0.673735,3,2,yes
7,0.514755,7,5,yes
6,0.440123,6,3,yes
7,0.557833,8,4,yes
7,0.490455,7,4,yes
5,0.391918,3,3,yes
7,0.610606,4,5,yes
6,0.566963,5,6,yes
5,0.614445,4,3,yes
5,0.66641,5,4,yes
7,0.555937,7,5,yes
7,0.648008,6,4,yes
6,0.555046,7,4,yes
5,0.653309,5,4,yes
3,0.822619,3,2,yes
7,0.632337,6,5,yes
6,0.392899,0,4,yes
5,0.538929,5,4,yes
6,0.560551,5,2,yes
7,0.584589,7,4,yes
7,0.510168,5,6,yes
5,0.442812,4,3,yes
7,0.542498,7,5,yes
8,0.509898,7,7,yes
5,0.644473,3,4,yes
7,0.597585,9,5,yes
4,0.709664,3,2,yes
7,0.61731,6,2,yes
6,0.59276,6,3,yes
7,0.550617,9,4,yes
5,0.64672,5,4,yes
8,0.524398,5,7,yes
5,0.649288,5,4,yes
3,0.677,2,0,yes
8,0.56409,8,6,yes
7,0.459652,5,4,yes
6,0.561936,5,4,yes
7,0.581941,6,4,yes
4,0.520717,3,2,yes
5,0.624276,4,3,yes
5,0.690082,5,4,yes
8,0.623997,10,6,yes
6,0.601476,6,3,yes
7,0.573119,5,4,yes
6,0.609862,5,5,yes
3,0.816015,2,0,yes
7,0.572773,7,4,yes
5,0.674179,3,3,yes
4,0.441346,3,2,yes
5,0.646323,5,4,yes
8,0.535719,7,5,yes
5,0.447762,4,3,yes
7,0.604006,6,3,yes
8,0.582061,8,7,yes
9,0.500561,10,5,yes
7,0.575942,6,5,yes
4,0.630693,3,2,yes
6,0.56108,7,5,yes
7,0.537444,5,4,yes
7,0.525931,8,5,yes
5,0.71003,5,4,yes
9,0.502206,7,7,yes
8,0.580999,5,6,yes
4,0.651496,3,2,yes
8,0.514523,8,6,yes
7,0.612335,7,5,yes
8,0.56743,7,7,yes
7,0.530495,9,5,yes
5,0.673118,3,2,yes
7,0.542217,7,4,yes
6,0.61547,5,4,yes
5,0.660414,4,4,yes
6,0.584231,5,5,yes
8,0.527962,6,7,yes
8,0.609459,10,7,yes
7,0.62503,7,5,yes
7,0.537891,9,5,yes
5,0.584506,4,2,yes
5,0.386507,3,2,yes
7,0.622003,5,6,yes
7,0.541916,7,5,yes
4,0.561181,3,2,yes
