@relation arff
@attribute nbrOfLines real
@attribute avgLength real
@attribute perpendicular real
@attribute parallell real
@attribute isdoor {yes, no}
@data
4,0.555447,4,2,yes
4,0.565648,4,2,yes
4,0.468318,0,0,yes
4,0.548998,3,0,yes
9,0.484084,2,4,yes
9,0.464119,4,2,yes
10,0.43459,4,0,yes
9,0.473849,2,0,yes
8,0.498043,4,0,yes
11,0.527617,7,2,yes
10,0.937306,4,5,yes
10,0.452165,4,6,yes
9,0.653913,6,6,yes
8,0.495441,4,3,yes
8,0.578256,6,4,yes
8,0.964869,3,7,yes
10,0.956776,5,4,yes
10,1.17927,4,9,yes
10,0.454883,5,2,yes
10,0.447471,2,2,yes
10,0.453328,2,2,yes
10,0.541951,4,2,yes
10,0.454387,6,2,yes
10,0.456294,6,4,yes
9,0.465573,4,0,yes
10,0.4479,6,4,yes
10,0.541319,6,4,yes
10,0.462704,6,2,yes
10,0.452648,2,0,yes
10,0.46181,6,4,yes
10,0.444799,4,2,yes
9,0.47559,0,6,yes
9,0.460597,2,4,yes
10,0.441098,2,4,yes
10,0.459829,2,2,yes
11,0.520507,4,4,yes
10,0.45862,6,4,yes
11,1.04657,6,5,yes
10,0.448069,6,2,yes
11,1.05991,3,6,yes
9,0.650587,6,0,yes
7,0.712039,4,0,yes
8,0.707681,4,4,yes
8,0.695463,4,3,yes
7,0.649714,0,2,yes
9,0.587234,6,5,yes
8,0.727788,4,5,yes
9,0.819368,6,7,yes
9,0.805028,8,3,yes
10,0.553098,2,3,yes
9,0.804059,6,7,yes
9,0.80483,6,3,yes
9,0.713425,4,4,yes
7,0.836246,2,3,yes
9,0.702168,6,6,yes
9,0.782315,6,3,yes
7,0.824677,2,4,yes
7,0.672623,2,4,yes
8,0.641865,4,4,yes
7,0.719941,2,2,yes
10,0.562154,2,3,yes
7,0.677552,2,2,yes
9,0.549638,6,6,yes
8,0.574071,4,6,yes
9,0.704995,8,8,yes
9,0.687402,6,8,yes
6,0.756611,0,4,yes
8,0.64646,6,5,yes
8,0.713369,4,7,yes
8,0.723009,4,7,yes
7,0.767391,2,5,yes
7,0.717211,2,2,yes
8,0.673927,2,4,yes
8,0.713551,0,6,yes
8,0.62459,4,4,yes
7,0.76225,0,4,yes
9,0.629595,2,6,yes
9,0.937839,2,7,yes
8,0.776195,6,6,yes
11,0.892606,2,3,yes
11,0.779224,2,5,yes
12,0.824659,8,10,yes
11,0.697959,8,7,yes
11,0.855587,2,6,yes
13,0.740559,8,7,yes
14,0.718433,8,10,yes
14,0.71733,6,11,yes
10,0.7848,4,4,yes
13,0.692734,8,8,yes
10,0.814748,4,6,yes
